date,area_I_0,area_O_0,area_I_1,area_O_1,area_I_2,area_O_2,area_I_3,area_O_3,area_I_4,area_O_4,area_I_5,area_O_5,area_I_6,area_O_6,area_I_7,area_O_7,area_I_8,area_O_8,area_I_9,area_O_9,area_I_10,area_O_10,area_I_11,area_O_11,area_I_12,area_O_12,area_I_13,area_O_13,area_I_14,area_O_14,area_I_15,area_O_15,area_I_16,area_O_16,area_I_17,area_O_17,area_I_18,area_O_18,area_I_19,area_O_19,area_I_20,area_O_20,area_I_21,area_O_21,area_I_22,area_O_22,area_I_23,area_O_23,area_I_24,area_O_24,area_I_25,area_O_25,area_I_26,area_O_26,area_I_27,area_O_27,area_I_28,area_O_28,area_I_29,area_O_29,area_I_30,area_O_30,area_I_31,area_O_31,area_I_32,area_O_32,area_I_33,area_O_33,area_I_34,area_O_34,area_I_35,area_O_35,area_I_36,area_O_36,area_I_37,area_O_37,area_I_38,area_O_38,area_I_39,area_O_39,area_I_40,area_O_40,area_I_41,area_O_41,area_I_42,area_O_42,area_I_43,area_O_43,area_I_44,area_O_44,area_I_45,area_O_45,area_I_46,area_O_46,area_I_47,area_O_47,area_I_48,area_O_48,area_I_49,area_O_49,area_I_50,area_O_50,area_I_51,area_O_51,area_I_52,area_O_52,area_I_53,area_O_53,area_I_54,area_O_54,area_I_55,area_O_55,area_I_56,area_O_56,area_I_57,area_O_57,area_I_58,area_O_58,area_I_59,area_O_59,area_I_60,area_O_60,area_I_61,area_O_61,area_I_62,area_O_62,area_I_63,area_O_63,area_I_64,area_O_64,area_I_65,area_O_65,area_I_66,area_O_66,area_I_67,area_O_67,area_I_68,area_O_68,area_I_69,area_O_69
2014-04-08T00:00:01,109,96,66,57,9,16,50,41,55,56,50,58,14,15,9,13,10,10,36,41,48,44,68,59,26,34,32,32,17,24,31,27,15,10,25,22,26,25,27,27,69,56,17,23,15,22,21,19,40,43,37,29,24,16,21,25,25,23,32,37,28,28,29,28,13,23,43,45,25,38,19,22,0,0,0,0,5,4,5,5,3,1,3,3,3,5,2,1,1,1,3,3,6,4,3,2,4,5,2,4,3,2,2,0,0,0,1,1,0,0,0,1,0,0,0,1,3,3,2,3,3,3,2,0,0,1,9,10,6,4,4,4,4,4,3,2,5,6,0,1
2014-08-01T00:00:01,129,99,40,41,5,6,39,33,28,62,35,45,14,21,9,10,10,11,41,39,57,48,50,32,21,22,41,48,22,23,28,24,21,21,23,25,27,23,23,25,46,34,16,15,10,12,23,19,35,41,35,31,32,18,26,22,19,31,28,19,26,21,22,16,14,22,0,37,20,19,23,21,2,1,9,9,8,8,0,8,3,2,11,9,1,5,4,4,7,8,3,2,8,8,2,2,8,8,3,2,11,6,3,1,0,0,1,2,0,0,0,1,2,2,0,0,2,2,2,2,3,1,1,2,0,1,14,6,5,5,5,6,0,5,0,2,4,5,3,2
2014-07-15T00:00:01,127,95,76,69,3,11,40,46,54,44,53,61,17,18,17,19,10,11,54,50,44,46,53,45,27,38,38,38,19,23,28,33,24,27,24,15,29,32,29,23,60,62,17,31,20,18,23,19,41,32,37,24,27,23,28,28,15,17,27,20,17,24,3,22,20,30,29,21,20,35,24,24,2,1,5,9,7,7,0,2,2,2,5,5,3,7,3,2,3,3,2,2,3,3,7,5,3,3,3,0,4,1,1,3,0,0,0,0,0,0,2,1,1,0,0,0,3,5,5,5,4,1,0,1,0,0,21,17,7,5,9,12,6,8,5,5,4,5,3,3
2014-03-16T00:00:01,13,21,6,8,6,0,9,14,43,46,3,2,5,6,4,8,7,4,8,10,43,33,20,20,2,13,9,8,18,14,5,8,3,13,6,11,19,22,4,5,10,16,11,14,4,5,16,13,36,14,24,17,7,7,11,7,10,5,5,5,4,1,11,13,11,11,4,8,13,8,1,7,0,0,0,0,3,1,0,0,0,1,0,0,1,0,2,2,2,2,2,0,7,4,1,2,2,3,8,3,0,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,4,4,4,1,0,3,2,2,2,0,2,0,1,0,0,0,0,2,1,0,1,1,0
2014-03-29T00:00:01,4,3,1,4,1,3,3,1,6,3,0,0,2,2,0,0,2,3,3,0,13,6,6,5,0,2,4,4,4,1,1,1,4,3,1,3,4,4,0,0,3,3,2,4,0,3,4,6,4,6,3,6,0,2,5,1,1,2,2,5,3,3,1,1,5,3,5,4,3,3,3,2,0,0,0,0,2,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,2,1,1,0,2,0,0,0,0,0,0
2014-07-09T00:00:01,154,125,77,67,12,12,49,49,60,60,47,52,19,22,11,17,14,10,61,47,46,37,62,46,31,39,34,36,18,19,18,27,24,16,19,20,24,25,29,25,62,60,9,21,11,16,30,33,35,35,41,34,19,17,34,24,22,29,23,26,20,21,0,21,16,33,39,44,20,25,27,24,2,2,3,5,6,7,2,3,5,6,2,3,2,4,9,4,3,3,1,2,8,8,1,4,2,6,4,3,8,1,2,0,0,1,0,0,1,1,0,1,1,1,0,0,4,6,4,2,7,3,1,4,0,1,15,20,5,7,5,4,8,6,7,3,6,8,3,1
2014-04-02T00:00:01,92,74,52,47,6,10,35,49,37,35,29,31,6,11,11,10,9,8,34,31,34,26,43,32,19,19,20,27,16,27,25,22,17,18,16,18,18,17,24,24,52,49,17,17,12,9,18,16,38,37,27,22,17,19,27,25,22,23,19,17,18,17,20,17,11,22,30,33,15,27,20,17,1,0,0,0,6,8,2,2,2,3,0,0,4,6,1,4,0,1,2,1,4,2,3,2,4,3,2,3,5,4,2,1,0,0,0,1,0,0,1,1,0,0,0,0,3,3,1,0,1,2,2,2,1,1,11,10,8,6,3,7,4,3,2,1,4,5,2,2
2014-06-01T00:00:01,22,11,5,5,0,5,16,17,40,36,6,4,7,8,7,8,6,4,7,9,26,38,11,13,6,9,7,8,15,15,5,10,8,4,11,15,13,12,8,6,9,15,12,10,9,8,11,9,15,13,14,13,21,15,8,8,6,9,9,9,11,3,8,5,4,12,8,6,6,5,2,2,6,6,7,2,1,5,1,1,5,7,2,2,4,0,4,4,7,11,2,2,7,7,5,4,2,2,3,4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,7,0,2,0,1,2,2,2,0,10,3,1,1,0,5,0,1,2,3,1,1,3,3
2014-06-19T00:00:01,115,98,62,59,0,9,44,44,60,56,60,69,14,19,13,18,14,8,50,32,46,47,64,49,23,29,25,29,22,26,10,17,16,14,18,17,26,35,22,21,65,53,14,17,13,11,22,21,40,32,50,46,22,25,27,24,19,19,28,31,30,33,20,27,9,22,35,29,20,32,20,24,4,4,4,5,5,7,4,3,3,3,1,1,2,3,8,10,3,0,2,0,4,3,2,1,2,2,5,5,9,7,1,2,0,0,0,0,1,0,1,1,0,0,0,0,2,5,3,1,0,2,1,0,1,0,7,6,6,5,3,5,3,2,5,6,6,6,1,0
2014-03-18T00:00:01,109,82,53,33,8,5,39,40,59,54,41,55,7,16,15,12,10,7,34,37,44,50,48,43,23,30,27,23,16,25,22,15,21,22,20,20,26,31,21,26,54,47,17,21,13,11,16,20,31,44,32,30,24,19,27,26,31,26,27,26,23,21,28,24,16,24,42,46,18,31,15,14,0,0,0,0,1,5,2,1,2,2,2,3,1,3,1,1,0,0,0,0,4,4,9,7,3,2,5,3,3,3,5,4,1,1,1,2,0,0,2,2,0,0,3,3,2,1,4,2,1,5,4,3,1,0,8,14,3,3,7,7,4,1,2,0,2,3,2,1
