atoms,charge,origin,bond1,bond2
3,0.2369836930769018,K,"[1, 7, 10]","[1, 1, 5, 8, 28]"
7,-0.2732956844162497,K,[3],"[1, 10]"
10,-0.34524553125486396,K,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.08452105644582444,K,"[1, 3, 5, 10]","[1, 3, 5, 5, 5, 7, 28]"
1,-0.025680718607868764,K,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.0455735696475069,K,"[1, 1, 5, 5]","[1, 1, 5, 5, 5, 5]"
1,-0.0035792310812117188,K,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 34]"
1,0.07393189477423151,K,"[1, 5, 5, 34]","[1, 5, 5, 36, 36, 36]"
34,-0.3575608543829572,K,"[1, 36, 36, 36]","[1, 5, 5]"
3,0.14178353490333573,K,"[1, 5, 7]","[1, 5, 10]"
7,-0.30107541255617104,K,[3],"[1, 5]"
23,0.11914719619698581,K,[8],"[1, 23]"
23,0.11914719619698581,K,[8],"[1, 23]"
5,0.05659073923143509,K,[1],"[1, 3, 8]"
5,0.02878070689721533,K,[1],"[1, 1, 5]"
5,0.02878070689721533,K,[1],"[1, 1, 5]"
5,0.026944217219128895,K,[1],"[1, 1, 5]"
5,0.026944217219128895,K,[1],"[1, 1, 5]"
5,0.032440608051856445,K,[1],"[1, 1, 5]"
5,0.032440608051856445,K,[1],"[1, 1, 5]"
5,0.09219386816024329,K,[1],"[1, 5, 34]"
5,0.09219386816024329,K,[1],"[1, 5, 34]"
36,0.34400660498986607,K,[34],"[1, 36, 36]"
36,0.34400660498986607,K,[34],"[1, 36, 36]"
36,0.34400660498986607,K,[34],"[1, 36, 36]"
28,0.16375967279986972,K,[10],"[1, 3]"
5,0.06082057603398989,K,[1],"[1, 3, 10]"
5,0.02921359887141069,K,[1],"[1, 1, 5]"
5,0.02921359887141069,K,[1],"[1, 1, 5]"
5,0.026961498282590306,K,[1],"[1, 1, 5]"
5,0.026961498282590306,K,[1],"[1, 1, 5]"
5,0.03244091506368321,K,[1],"[1, 1, 5]"
5,0.03244091506368321,K,[1],"[1, 1, 5]"
5,0.09219387076767836,K,[1],"[1, 5, 34]"
5,0.09219387076767836,K,[1],"[1, 5, 34]"
36,0.344006604997293,K,[34],"[1, 36, 36]"
36,0.344006604997293,K,[34],"[1, 36, 36]"
36,0.344006604997293,K,[34],"[1, 36, 36]"
5,0.10659062561563105,K,[3],"[1, 7]"
3,0.1383710470384654,FITC,"[3, 10, 16]","[10, 16, 28, 37]"
10,-0.3441320880946008,FITC,"[3, 28, 37]","[3, 16, 37, 37]"
37,0.03958028169549771,FITC,"[10, 37, 37]","[3, 5, 5, 28, 37, 37]"
37,-0.03770836008158941,FITC,"[5, 37, 37]","[5, 10, 37, 37]"
37,-0.045156255295514085,FITC,"[5, 37, 37]","[3, 5, 37, 37]"
37,0.0677477217384472,FITC,"[3, 37, 37]","[1, 5, 6, 7, 37, 37]"
37,0.021591007812933213,FITC,"[1, 37, 37]","[3, 5, 6, 37, 37, 37, 37]"
37,-0.02976383274363535,FITC,"[5, 37, 37]","[1, 10, 37, 37]"
1,0.1956934153764034,FITC,"[6, 37, 37, 37]","[3, 37, 37, 37, 37, 37, 37]"
6,-0.4402802112901431,FITC,"[1, 3]","[7, 37, 37, 37, 37]"
3,0.33967808713146774,FITC,"[6, 7, 37]","[1, 37, 37]"
7,-0.2461305698425329,FITC,[3],"[6, 37]"
37,0.04789938964395134,FITC,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,0.13857990868636977,FITC,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.02309643010297693,FITC,"[5, 37, 37]","[6, 6, 37, 37]"
37,0.11882232459116887,FITC,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,-0.01949868098622708,FITC,"[5, 37, 37]","[5, 6, 37, 37]"
37,-0.04686266421088956,FITC,"[5, 37, 37]","[1, 5, 37, 37]"
6,-0.5078223799058896,FITC,"[29, 37]","[37, 37]"
6,-0.45613755645975995,FITC,"[37, 37]","[37, 37, 37, 37]"
37,0.13857990868636977,FITC,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.04789938964395134,FITC,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,-0.04686266421088956,FITC,"[5, 37, 37]","[1, 5, 37, 37]"
37,-0.01949868098622708,FITC,"[5, 37, 37]","[5, 6, 37, 37]"
37,0.11882232459116887,FITC,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,0.02309643010297693,FITC,"[5, 37, 37]","[6, 6, 37, 37]"
6,-0.5078223799058896,FITC,"[29, 37]","[37, 37]"
16,-0.05693732260236122,FITC,[3],"[3, 10]"
3,0.1383710470384654,FITC,"[3, 10, 16]","[10, 16, 28, 37]"
10,-0.3441320880946008,FITC,"[3, 28, 37]","[3, 16, 37, 37]"
37,0.03958028169549771,FITC,"[10, 37, 37]","[3, 5, 5, 28, 37, 37]"
37,-0.03770836008158941,FITC,"[5, 37, 37]","[5, 10, 37, 37]"
37,-0.045156255295514085,FITC,"[5, 37, 37]","[3, 5, 37, 37]"
37,0.0677477217384472,FITC,"[3, 37, 37]","[1, 5, 6, 7, 37, 37]"
37,0.021591007812933213,FITC,"[1, 37, 37]","[3, 5, 6, 37, 37, 37, 37]"
37,-0.02976383274363535,FITC,"[5, 37, 37]","[1, 10, 37, 37]"
1,0.1956934153764034,FITC,"[6, 37, 37, 37]","[3, 37, 37, 37, 37, 37, 37]"
6,-0.4402802112901431,FITC,"[1, 3]","[7, 37, 37, 37, 37]"
3,0.33967808713146774,FITC,"[6, 7, 37]","[1, 37, 37]"
7,-0.2461305698425329,FITC,[3],"[6, 37]"
37,0.04789938964395134,FITC,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,0.13857990868636977,FITC,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.02309643010297693,FITC,"[5, 37, 37]","[6, 6, 37, 37]"
37,0.11882232459116887,FITC,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,-0.01949868098622708,FITC,"[5, 37, 37]","[5, 6, 37, 37]"
37,-0.04686266421088956,FITC,"[5, 37, 37]","[1, 5, 37, 37]"
6,-0.5078223799058896,FITC,"[29, 37]","[37, 37]"
6,-0.45613755645975995,FITC,"[37, 37]","[37, 37, 37, 37]"
37,0.13857990868636977,FITC,"[6, 37, 37]","[1, 5, 37, 37, 37]"
37,0.04789938964395134,FITC,"[1, 37, 37]","[5, 6, 6, 37, 37, 37, 37]"
37,-0.04686266421088956,FITC,"[5, 37, 37]","[1, 5, 37, 37]"
37,-0.01949868098622708,FITC,"[5, 37, 37]","[5, 6, 37, 37]"
37,0.11882232459116887,FITC,"[6, 37, 37]","[5, 5, 29, 37, 37]"
37,0.02309643010297693,FITC,"[5, 37, 37]","[6, 6, 37, 37]"
6,-0.5078223799058896,FITC,"[29, 37]","[37, 37]"
16,-0.05693732260236122,FITC,[3],"[3, 10]"
28,0.16744610416438202,FITC,[10],"[3, 37]"
5,0.06449533159805117,FITC,[37],"[37, 37]"
5,0.06326084010993077,FITC,[37],"[37, 37]"
5,0.06496872075495846,FITC,[37],"[37, 37]"
5,0.07018192836055662,FITC,[37],"[37, 37]"
5,0.0661991340449836,FITC,[37],"[37, 37]"
5,0.06301589363266433,FITC,[37],"[37, 37]"
29,0.29309553553513473,FITC,[6],[37]
5,0.06301589363266433,FITC,[37],"[37, 37]"
5,0.0661991340449836,FITC,[37],"[37, 37]"
5,0.07018192836055662,FITC,[37],"[37, 37]"
29,0.29309553553513473,FITC,[6],[37]
28,0.16744610416438202,FITC,[10],"[3, 37]"
5,0.06449533159805117,FITC,[37],"[37, 37]"
5,0.06326084010993077,FITC,[37],"[37, 37]"
5,0.06496872075495846,FITC,[37],"[37, 37]"
5,0.07018192836055662,FITC,[37],"[37, 37]"
5,0.0661991340449836,FITC,[37],"[37, 37]"
5,0.06301589363266433,FITC,[37],"[37, 37]"
29,0.29309553553513473,FITC,[6],[37]
5,0.06301589363266433,FITC,[37],"[37, 37]"
5,0.0661991340449836,FITC,[37],"[37, 37]"
5,0.07018192836055662,FITC,[37],"[37, 37]"
29,0.29309553553513473,FITC,[6],[37]
8,-0.31958657948868824,D,"[1, 23, 23]","[1, 3, 5]"
1,0.08939258162850124,D,"[1, 3, 5, 8]","[5, 5, 7, 10, 23, 23, 41]"
1,0.011171456434538096,D,"[1, 5, 5, 41]","[3, 5, 8, 32, 32]"
41,0.04345956457621234,D,"[1, 32, 32]","[1, 5, 5]"
32,-0.5500926835070328,D,[41],"[1, 32]"
32,-0.5500926835070328,D,[41],"[1, 32]"
3,0.23738601103168142,D,"[1, 7, 10]","[1, 1, 5, 8, 28]"
7,-0.2732809324237287,D,[3],"[1, 10]"
10,-0.3448477031998331,D,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.08970559544441811,D,"[1, 3, 5, 10]","[3, 5, 5, 5, 7, 28, 41]"
1,0.014156844828663901,D,"[1, 5, 5, 41]","[3, 5, 10, 32, 32]"
41,0.04387597257828751,D,"[1, 32, 32]","[1, 5, 5]"
32,-0.550073912934641,D,[41],"[1, 32]"
32,-0.550073912934641,D,[41],"[1, 32]"
3,0.14217062269177652,D,"[1, 5, 7]","[1, 5, 10]"
7,-0.3010613415072033,D,[3],"[1, 5]"
23,0.11915868177018853,D,[8],"[1, 23]"
23,0.11915868177018853,D,[8],"[1, 23]"
5,0.05699281220225417,D,[1],"[1, 3, 8]"
5,0.03500100695601667,D,[1],"[1, 5, 41]"
5,0.03500100695601667,D,[1],"[1, 5, 41]"
28,0.16377499348266766,D,[10],"[1, 3]"
5,0.06122066340200818,D,[1],"[1, 3, 10]"
5,0.03543932899545313,D,[1],"[1, 5, 41]"
5,0.03543932899545313,D,[1],"[1, 5, 41]"
5,0.1066045957584748,D,[3],"[1, 7]"
8,-0.3175796758528372,R5,"[1, 23, 23]","[1, 1, 3]"
1,0.0925225483363809,R5,"[1, 1, 3, 8]","[1, 5, 5, 5, 5, 5, 7, 10, 23, 23]"
1,-0.025967767175271057,R5,"[1, 1, 5, 5]","[1, 1, 3, 5, 5, 8]"
1,-0.04757148519809605,R5,"[1, 1, 5, 5]","[1, 2, 5, 5, 5, 5]"
1,-0.034990409475930385,R5,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.08853784829786324,R5,"[1, 2, 5]","[1, 1, 5, 5, 5]"
1,-0.03794479595008088,R5,"[1, 5, 5, 5]","[1, 3, 8]"
3,0.24016682904363507,R5,"[1, 7, 10]","[1, 1, 2, 8, 28]"
7,-0.2729595113466643,R5,[3],"[1, 10]"
10,-0.3396148194598166,R5,"[2, 3, 28]","[1, 1, 3, 7]"
2,0.12534718605077097,R5,"[1, 3, 10]","[1, 3, 5, 5, 5, 7, 28]"
1,-0.0198755327480024,R5,"[1, 2, 5, 5]","[1, 3, 5, 5, 10]"
1,-0.04705357442495807,R5,"[1, 1, 5, 5]","[2, 2, 5, 5, 5, 5]"
1,-0.03497111262234423,R5,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.0885375190876605,R5,"[1, 2, 5]","[1, 1, 5, 5, 5]"
3,0.14781247211641227,R5,"[2, 5, 7]","[1, 10]"
7,-0.30062796506612527,R5,[3],"[2, 5]"
23,0.11940885081137495,R5,[8],"[1, 23]"
23,0.11940885081137495,R5,[8],"[1, 23]"
5,0.02907489857977613,R5,[1],"[1, 1, 5]"
5,0.02907489857977613,R5,[1],"[1, 1, 5]"
5,0.02705216134786842,R5,[1],"[1, 1, 5]"
5,0.02705216134786842,R5,[1],"[1, 1, 5]"
5,0.030964192905340856,R5,[1],"[1, 2, 5]"
5,0.030964192905340856,R5,[1],"[1, 2, 5]"
5,0.057246293962288156,R5,[2],"[1, 2]"
5,0.025447975967001286,R5,[1],"[1, 5, 5]"
5,0.025447975967001286,R5,[1],"[1, 5, 5]"
5,0.025447975967001286,R5,[1],"[1, 5, 5]"
28,0.16417400659550266,R5,[10],"[2, 3]"
5,0.029629673657801055,R5,[1],"[1, 2, 5]"
5,0.029629673657801055,R5,[1],"[1, 2, 5]"
5,0.027071552029918157,R5,[1],"[1, 1, 5]"
5,0.027071552029918157,R5,[1],"[1, 1, 5]"
5,0.030964514230496808,R5,[1],"[1, 2, 5]"
5,0.030964514230496808,R5,[1],"[1, 2, 5]"
5,0.057246296504247986,R5,[2],"[1, 2]"
5,0.10704076907025543,R5,[3],"[2, 7]"
8,-0.31734842882281117,B8,"[1, 23, 23]","[1, 1, 3]"
1,0.09537646602488226,B8,"[1, 1, 3, 8]","[1, 1, 5, 5, 5, 5, 7, 10, 23, 23]"
1,-0.025689761799694205,B8,"[1, 1, 5, 5]","[1, 1, 3, 5, 5, 8]"
1,-0.047560700546748484,B8,"[1, 1, 5, 5]","[1, 2, 5, 5, 5, 5]"
1,-0.034990224254565154,B8,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.08853784685556809,B8,"[1, 2, 5]","[1, 1, 5, 5, 5]"
1,-0.025689761799694205,B8,"[1, 1, 5, 5]","[1, 1, 3, 5, 5, 8]"
1,-0.047560700546748484,B8,"[1, 1, 5, 5]","[1, 2, 5, 5, 5, 5]"
1,-0.034990224254565154,B8,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.08853784685556809,B8,"[1, 2, 5]","[1, 1, 5, 5, 5]"
3,0.2403669866788612,B8,"[1, 7, 10]","[1, 1, 1, 8, 28]"
7,-0.2729488324018798,B8,[3],"[1, 10]"
10,-0.34228199484872623,B8,"[1, 3, 28]","[1, 1, 1, 3, 7]"
1,0.09550132118591381,B8,"[1, 1, 3, 10]","[1, 1, 3, 5, 5, 5, 5, 5, 7, 28]"
1,-0.022686859742436203,B8,"[1, 1, 5, 5]","[1, 1, 3, 5, 5, 10]"
1,-0.047161387383688844,B8,"[1, 1, 5, 5]","[1, 2, 5, 5, 5, 5]"
1,-0.03497295472380527,B8,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.08853753394244146,B8,"[1, 2, 5]","[1, 1, 5, 5, 5]"
1,-0.022686859742436203,B8,"[1, 1, 5, 5]","[1, 1, 3, 5, 5, 10]"
1,-0.047161387383688844,B8,"[1, 1, 5, 5]","[1, 2, 5, 5, 5, 5]"
1,-0.03497295472380527,B8,"[1, 2, 5, 5]","[1, 2, 5, 5, 5]"
2,-0.08853753394244146,B8,"[1, 2, 5]","[1, 1, 5, 5, 5]"
3,0.14491776840496168,B8,"[1, 5, 7]","[1, 1, 10]"
7,-0.3007465975777738,B8,[3],"[1, 5]"
23,0.11941854573374386,B8,[8],"[1, 23]"
23,0.11941854573374386,B8,[8],"[1, 23]"
5,0.029085739018902206,B8,[1],"[1, 1, 5]"
5,0.029085739018902206,B8,[1],"[1, 1, 5]"
5,0.02705234215931681,B8,[1],"[1, 1, 5]"
5,0.02705234215931681,B8,[1],"[1, 1, 5]"
5,0.03096419434222402,B8,[1],"[1, 2, 5]"
5,0.03096419434222402,B8,[1],"[1, 2, 5]"
5,0.05724629396769428,B8,[2],"[1, 2]"
5,0.029085739018902206,B8,[1],"[1, 1, 5]"
5,0.029085739018902206,B8,[1],"[1, 1, 5]"
5,0.02705234215931681,B8,[1],"[1, 1, 5]"
5,0.02705234215931681,B8,[1],"[1, 1, 5]"
5,0.03096419434222402,B8,[1],"[1, 2, 5]"
5,0.03096419434222402,B8,[1],"[1, 2, 5]"
5,0.05724629396769428,B8,[2],"[1, 2]"
28,0.16406122488442526,B8,[10],"[1, 3]"
5,0.02952133303148854,B8,[1],"[1, 1, 5]"
5,0.02952133303148854,B8,[1],"[1, 1, 5]"
5,0.02706975389713386,B8,[1],"[1, 1, 5]"
5,0.02706975389713386,B8,[1],"[1, 1, 5]"
5,0.03096449997390692,B8,[1],"[1, 2, 5]"
5,0.03096449997390692,B8,[1],"[1, 2, 5]"
5,0.05724629644970915,B8,[2],"[1, 2]"
5,0.02952133303148854,B8,[1],"[1, 1, 5]"
5,0.02952133303148854,B8,[1],"[1, 1, 5]"
5,0.02706975389713386,B8,[1],"[1, 1, 5]"
5,0.02706975389713386,B8,[1],"[1, 1, 5]"
5,0.03096449997390692,B8,[1],"[1, 2, 5]"
5,0.03096449997390692,B8,[1],"[1, 2, 5]"
5,0.05724629644970915,B8,[2],"[1, 2]"
5,0.10692290297585809,B8,[3],"[1, 7]"
8,-0.319219634182016,C,"[1, 23, 23]","[1, 3, 5]"
1,0.09303486060560544,C,"[1, 3, 5, 8]","[5, 5, 7, 10, 15, 23, 23]"
1,0.014506939738140087,C,"[1, 5, 5, 15]","[3, 5, 8, 71]"
15,-0.1771894067952174,C,"[1, 71]","[1, 5, 5]"
3,0.23785895078924493,C,"[1, 7, 10]","[1, 1, 5, 8, 28]"
7,-0.2732597834026197,C,[3],"[1, 10]"
10,-0.3443814235785463,C,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.0932689754560972,C,"[1, 3, 5, 10]","[3, 5, 5, 5, 7, 15, 28]"
1,0.017481430431338343,C,"[1, 5, 5, 15]","[3, 5, 10, 71]"
15,-0.17675009965680494,C,"[1, 71]","[1, 5, 5]"
3,0.1426215748292177,C,"[1, 5, 7]","[1, 5, 10]"
7,-0.3010412068024871,C,[3],"[1, 5]"
23,0.1191751451742225,C,[8],"[1, 23]"
