atoms,charge,origin,bond1,bond2
37,-0.05256236874165814,0,"[5, 37, 64]","[5, 37, 63, 64]"
64,0.002652595660734892,0,"[37, 63, 64]","[1, 5, 37, 37, 39, 63]"
3,0.2430747338777816,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2726908059737769,0,[3],"[1, 10]"
10,-0.3425086804823951,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10785496910506749,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.020665283126422372,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788190970756,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423972421,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.24272896119009588,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2727046348395081,0,[3],"[1, 10]"
10,-0.342519286751944,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10785457780540929,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.020665286425109564,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788203659186,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423970065,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.2427190613501098,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.27270482022967046,0,[3],"[1, 10]"
10,-0.3428066683023146,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10493489812350104,0,"[1, 3, 5, 10]","[3, 5, 5, 5, 7, 10, 28]"
1,-0.03562112562107829,0,"[1, 5, 5, 5]","[3, 5, 10]"
3,0.24243011256215616,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2727171336774275,0,[3],"[1, 10]"
10,-0.3428161029648267,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10493471084777818,0,"[1, 3, 5, 10]","[3, 5, 5, 5, 7, 10, 28]"
1,-0.035621127210154244,0,"[1, 5, 5, 5]","[3, 5, 10]"
3,0.24243011089805727,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2727171336841821,0,[3],"[1, 10]"
10,-0.34281612341506945,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10493230072764788,0,"[1, 3, 5, 10]","[3, 5, 5, 5, 7, 10, 28]"
1,-0.03562114760209677,0,"[1, 5, 5, 5]","[3, 5, 10]"
3,0.2423017417012697,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2727195238575183,0,[3],"[1, 10]"
10,-0.34658523357724996,0,"[1, 3, 28]","[1, 1, 5, 7, 41]"
1,0.06576125927645812,0,"[1, 5, 10, 41]","[3, 5, 5, 5, 28, 32, 32]"
1,-0.039295422876856154,0,"[1, 5, 5, 5]","[5, 10, 41]"
41,0.0635347564727991,0,"[1, 32, 32]","[1, 5, 10]"
32,-0.5479091684755596,0,[41],"[1, 32]"
32,-0.5479091684755596,0,[41],"[1, 32]"
28,0.1688507425527113,0,[10],"[3, 37]"
